,State,Gas Price
0,Alabama,1.89
1,Alaska,2.528
2,Arizona,2.343
3,National,2.188
4,California,3.171
5,Colorado,2.444
6,Connecticut,2.204
7,Delaware,2.248
8,Florida,2.142
9,Georgia,2.0
10,Hawaii,3.243
11,Idaho,2.402
12,Illinois,2.381
13,Indiana,2.11
14,Iowa,2.072
15,Kansas,1.977
16,Kentucky,2.054
17,Louisiana,1.864
18,Maine,2.211
19,Maryland,2.285
20,Massachusetts,2.141
21,Michigan,2.137
22,Minnesota,2.067
23,Mississippi,1.836
24,Missouri,1.906
25,Montana,2.242
26,Nebraska,2.128
27,Nevada,2.656
28,New Hampshire,2.121
29,New Jersey,2.19
30,New Mexico,2.044
31,New York,2.266
32,North Carolina,1.986
33,North Dakota,2.096
34,Ohio,2.09
35,Oklahoma,1.907
36,Oregon,2.664
37,Pennsylvania,2.42
38,Rhode Island,2.15
39,South Carolina,1.907
40,South Dakota,2.159
41,Tennessee,1.934
42,Texas,1.889
43,Utah,2.362
44,Vermont,2.166
45,Virginia,1.995
46,Washington,2.805
47,West Virginia,2.149
48,Wisconsin,2.069
49,Wisconsin,2.069
